worksite_state,total_positions,total_wages,avg_wage,unique_employers,pct_of_workforce,total_wages_billions
CA,292640,62883791225.73,201577.75,30283,19.0,62.88
TX,222493,44005473152.33,183945.53,24602,14.44,44.01
NY,114067,25318143408.28,208054.43,19217,7.4,25.32
WA,94537,18482214408.06,180552.09,6796,6.14,18.48
NJ,85612,13967810286.65,153492.42,12340,5.56,13.97
IL,67931,10634613277.34,147334.63,10532,4.41,10.63
GA,60651,11972647177.89,184061.48,8985,3.94,11.97
MA,58445,10215239894.16,164607.95,9356,3.79,10.22
NC,57448,9487519973.49,153532.16,8021,3.73,9.49
FL,48836,9449575680.81,180797.76,10985,3.17,9.45
PA,43540,7045454592.22,151661.92,7495,2.83,7.05
VA,42017,7592850574.88,168632.58,7541,2.73,7.59
MI,41302,6064904349.67,137566.73,6327,2.68,6.06
OH,32704,6495795341.35,185514.65,5692,2.12,6.5
AZ,26291,4430853860.54,157245.15,4710,1.71,4.43
MD,20258,4298927564.6,198299.16,4712,1.32,4.3
MN,19210,3328647104.62,162096.28,3524,1.25,3.33
CT,17998,2836732447.09,148178.67,3052,1.17,2.84
TN,17160,3580756087.09,192907.88,3156,1.11,3.58
CO,16972,2961977405.43,163284.31,3701,1.1,2.96
MO,16419,2906795158.3,166216.56,3393,1.07,2.91
IN,14359,3073638676.3,201114.88,2892,0.93,3.07
OR,14242,2354287814.43,157004.86,1980,0.92,2.35
WI,11947,2838216512.85,224187.72,2312,0.78,2.84
UT,8699,1235231762.95,134147.67,1886,0.56,1.24
AR,8166,1367444888.57,148683.8,1328,0.53,1.37
SC,7864,961149810.87,112139.75,2011,0.51,0.96
DC,7522,1388582998.92,173010.59,2147,0.49,1.39
DE,7218,1099034729.31,142583.64,1380,0.47,1.1
KY,6597,773871559.24,108476.53,1512,0.43,0.77
IA,6334,1045221343.42,154162.44,1422,0.41,1.05
KS,5822,1158831565.35,186547.26,1623,0.38,1.16
NE,4639,503589755.82,101102.14,1006,0.3,0.5
AL,4293,758299647.22,164383.19,1242,0.28,0.76
LA,4169,694569230.31,155802.88,935,0.27,0.69
RI,4159,735546193.61,165142.84,876,0.27,0.74
NV,3856,870303651.47,210574.32,1273,0.25,0.87
NH,3758,676689506.07,169468.95,1114,0.24,0.68
OK,3565,385641697.52,100821.36,1009,0.23,0.39
NM,2963,706243639.06,221810.19,609,0.19,0.71
ID,2126,239301996.06,106026.58,418,0.14,0.24
MS,1804,231002159.77,114926.45,493,0.12,0.23
GU,1673,116476874.02,62220.55,295,0.11,0.12
ME,1173,175350782.93,139056.93,315,0.08,0.18
ND,1152,128791372.92,99070.29,268,0.07,0.13
SD,1067,370926043.77,321984.41,236,0.07,0.37
WV,1018,199985579.75,179359.26,267,0.07,0.2
HI,750,88957527.71,109959.86,259,0.05,0.09
VT,743,86693755.97,110157.25,220,0.05,0.09
MT,618,64436079.39,98076.22,157,0.04,0.06
AK,593,64933978.0,92762.83,115,0.04,0.06
WY,512,850185294.65,1542986.02,154,0.03,0.85
PR,253,24426283.73,86311.96,152,0.02,0.02
MP,207,10393526.15,47676.73,80,0.01,0.01
VI,136,8840173.22,57403.72,37,0.01,0.01
